source_file_symbol,date,symbol,Series,Prev Close,open,high,low,Last,close,vwap,volume,turnover,trades,deliverable_volume,deliverable_pct,company,industry,nifty_close,nifty_ret_1d,vix_close,ret_1d,ret_5d,ret_21d,ret_63d,vol_20d,vol_60d,sma20_gap,sma50_gap,ema12_26_gap,macd,rsi_14,bollinger_z,atr_14,volume_z_20,turnover_z_20,drawdown,beta_252,target_return_21d,target_up_21d,symbol_code,industry_code,forecast_return_21d,forecast_up_probability,forecast_annualized,annual_return,volatility,sharpe,sortino,max_drawdown,calmar,quality_score,raw_score,weight,profile
TCS,2021-04-30,TCS,EQ,3115.25,3099.0,3132.05,3020.0,3040.0,3035.65,3063.19,3072305,941105660510000.0,157829.0,1942473.0,0.6323,Tata Consultancy Services Ltd.,IT,14631.1,-0.017710760058812003,23.03,-0.025551721370676517,-0.023749799003055072,-0.010157167079692164,-0.07767447513140702,0.2750166888581419,0.2526563231626383,-0.04486144803868819,-0.02129792920679241,-0.0034226716225457254,-10.739189634272407,25.869453486379953,-1.8150655210782136,0.02569113228280128,-0.0972228915976364,-0.16326609776753093,-0.15762965840663756,0.5814131170802882,,0,41,7,0.01231875654999022,0.5146624781498482,0.1582635885156598,0.6329039025308643,0.2684780679380293,2.3573765536667692,3.897830229429029,-0.12527200193423582,5.052237473327205,0.6163265306122448,0.7619157495921818,0.07185858922345228,Balanced
HCLTECH,2021-04-30,HCLTECH,EQ,909.55,905.0,915.0,895.4,900.1,898.95,904.98,10921664,988391121380000.0,465056.0,6189272.0,0.5667,HCL Technologies Ltd.,IT,14631.1,-0.017710760058812003,23.03,-0.011654114672090543,-0.05933134515774596,-0.062177246883313275,-0.051240105540897085,0.2890569255428708,0.2771466838369985,-0.08401730172558719,-0.07046552724287214,-0.018708458147214113,-18.039492862186194,17.681362257989335,-1.7961594757850263,0.03251412362041429,1.0743661123851125,0.9270545807066106,-0.6811272901406452,0.7555039316595369,,0,15,7,0.010515624904107219,0.5099382558767488,0.13374764296459585,0.9081935894714492,0.3295838746154822,2.7555765297407753,5.034206227346415,-0.15361077111383048,5.912304084447626,0.5479591836734694,0.7113721927197244,0.06884744867967893,Balanced
TECHM,2021-04-30,TECHM,EQ,976.9,973.8,976.9,955.4,958.85,960.4,968.21,3129105,302964310585000.0,70097.0,2104528.0,0.6726000000000001,Tech Mahindra Ltd.,IT,14631.1,-0.017710760058812003,23.03,-0.016890162759750194,0.01073458219322232,-0.03087790110998989,-0.011984980196491968,0.26650919361758163,0.2910876167375784,-0.03233525694148831,-0.027237157028677572,-0.00797137447255114,-7.864539531468267,33.29274232830002,-1.2144815885461984,0.032988486939965506,-0.7129502947228085,-0.7465823971997838,-0.6712816387999931,0.7748562570208636,,0,42,7,0.010976055094405256,0.47748307539360807,0.13996215508892762,0.845503458877783,0.319834530984383,2.643565271940782,3.8948697058978223,-0.1473181143281368,5.7393041088925845,0.40816326530612246,0.7003830429019217,0.06819276830881611,Balanced
BAJAJ-AUTO,2021-04-30,BAJAJ-AUTO,EQ,3836.45,3805.0,3966.35,3800.0,3827.0,3833.75,3869.17,1340273,518574374275000.0,79430.0,229768.0,0.1714,Bajaj Auto Ltd.,AUTOMOBILE,14631.1,-0.017710760058812003,23.03,-0.0007037756259040684,0.043907420013614695,0.06491576505881858,-0.08040393864162432,0.3083456417931148,0.28339066539303465,0.042641203602976185,0.018766022229893098,0.006864121321111583,25.492757378126043,61.75474471212217,1.5651095988195858,0.03134007173133357,2.0869305760953973,2.121891792668068,-0.09526956070278114,0.7882919306621983,,0,3,0,0.022046086047656885,0.555437617216034,0.2991094833597805,0.5560944920241877,0.3039318339521992,1.8296684647770307,2.7076473912724692,-0.1736539664184833,3.2023137938817525,0.7846938775510204,0.6348954508719857,0.06429133446289528,Balanced
TITAN,2021-04-30,TITAN,EQ,1506.8,1500.0,1516.55,1471.0,1489.85,1491.65,1493.26,3691399,551220057930000.0,111986.0,699586.0,0.1895,Titan Company Ltd.,CONSUMER GOODS,14631.1,-0.017710760058812003,23.03,-0.01005441996283507,0.020664408635259424,-0.009429890095294935,-0.005467213388005376,0.2968687375964886,0.2893414105727547,-0.020265943297394617,0.0023155427616106117,-0.0011896877073830359,-1.7918376337561313,36.78885387294743,-0.9354005276895393,0.029238953986716533,2.536615868653839,2.383126654541253,-0.6836104865736223,0.870584429072233,,0,43,3,0.018979765944594412,0.4748025487873415,0.25310286460538767,0.5990244948276777,0.31217596218311777,1.9188680981026298,3.1753692961044124,-0.15746610999432997,3.804148682210079,0.523469387755102,0.5811249675564772,0.06108794925638548,Balanced
LT,2021-04-30,LT,EQ,1358.65,1350.0,1365.0,1336.1,1340.05,1340.45,1349.74,1968093,265641930620000.0,63130.0,953902.0,0.4847,Larsen & Toubro Ltd.,CONSTRUCTION,14631.1,-0.017710760058812003,23.03,-0.013395650093843137,0.013266308866883403,-0.04137166559393546,-0.015316241827664667,0.3017007085437455,0.3422830942687623,-0.023050811634182322,-0.06336579008968402,-0.015477099612668188,-21.34991013367494,37.136319058515845,-0.8525065881980934,0.027168381620244805,-0.6344827044765183,-0.6840273837128442,-0.7025650697849868,1.0812458763473882,,0,28,2,0.012815233526673228,0.4878742835878357,0.1650986476859393,0.5638453012891576,0.319324694600587,1.7657428655632732,3.1396288076259964,-0.1634268569057422,3.4501385632984425,0.44795918367346943,0.4218263347327404,0.051597707541232135,Balanced
POWERGRID,2021-04-30,POWERGRID,EQ,220.15,217.75,222.3,216.65,220.35,220.05,220.24,9504624,209332798050000.0,56225.0,4634594.0,0.4876,Power Grid Corporation of India Ltd.,ENERGY,14631.1,-0.017710760058812003,23.03,-0.0004542357483533488,0.04215013023916647,0.025396085740913454,0.15694006309148278,0.3429904274251274,0.3880752557624188,0.04137335399831987,0.008353686757367473,0.0022773669886564374,0.4870962890665851,61.47455867082037,1.3987162562088484,0.029051838867789788,-0.19545105737041382,-0.08804128115728432,-0.06955602536997885,0.7589134785002046,,0,34,4,0.02047683056964555,0.5098668608688511,0.27537466218673634,0.39980916030534486,0.31567816102137947,1.266508772769579,2.1847240271206205,-0.1763617133791645,2.2669838744749833,0.6173469387755102,0.37218894877357933,0.04864055227561202,Balanced
ASIANPAINT,2021-04-30,ASIANPAINT,EQ,2613.45,2595.0,2605.8,2524.05,2529.0,2536.4,2558.66,1384907,354351186245000.0,91934.0,750496.0,0.5418999999999999,Asian Paints Ltd.,CONSUMER GOODS,14631.1,-0.017710760058812003,23.03,-0.029482102202069926,0.007327389344506496,0.012474302935951975,0.008930169653334596,0.29133111026289393,0.30432604490414245,-0.01684492263623083,0.02293951130077132,0.008811497880070851,22.44864145441261,38.72940712242281,-0.9463145522448886,0.027358798747380987,-0.2037647435092001,-0.22170927231574478,-0.5134564846252709,0.6600695614386639,,0,1,3,0.015153652455056118,0.5205071138856369,0.1977919176819447,0.39026529269896715,0.29705875097752427,1.3137646725259913,2.238350794271928,-0.20078615800372068,1.94368624101934,0.5979591836734693,0.3646134189476985,0.04818923886573793,Balanced
SHREECEM,2021-04-30,SHREECEM,EQ,28444.35,28340.0,28432.35,27808.15,27900.0,27910.5,28113.3,32147,90375838600000.0,12546.0,11805.0,0.3671999999999999,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,14631.1,-0.017710760058812003,23.03,-0.01876822637887665,-0.006966409666160245,-0.007316066893819251,0.20015996112772583,0.3613985700740459,0.4020584876932842,-0.0571184759577964,-0.01807936457398651,-0.002181575427090743,-62.93300268126404,24.62460179804161,-1.4484998917832053,0.03536840973827054,-1.1102400456670598,-1.0962943642460474,-0.12089452340643336,1.025854268532038,,0,37,1,0.01888852325422152,0.5393074581938405,0.25175704572240476,0.4794152412553818,0.33472489731988175,1.432266452522729,2.5822221787530424,-0.20635926814546368,2.323206733401669,0.6530612244897959,0.3567283897580038,0.04771948698140102,Balanced
CIPLA,2021-04-30,CIPLA,EQ,906.5,900.75,921.0,900.75,910.0,910.35,911.47,6459737,588782439460000.0,121466.0,2004555.0,0.3103,Cipla Ltd.,PHARMA,14631.1,-0.017710760058812003,23.03,0.004247104247104172,-0.02698802907225306,0.1560734014858085,0.08789435946462731,0.2818998858121412,0.27219645809773724,0.021978114501738588,0.08866454279318092,0.030046594379150804,26.465806964294984,66.88905361996544,0.42686364369999397,0.03619879324278731,-0.35377753189963795,-0.3456471025108135,-0.37870670534038553,0.232364873051584,,0,9,10,0.008495997712236757,0.5231354463157794,0.10685351425450973,0.5207985299031084,0.31375519983291283,1.6598881235448986,2.9957207281793563,-0.1253764188093579,4.1538794523634675,0.5316326530612245,0.3494509823585203,0.047285934263110195,Balanced
